preds0	preds1	preds2	preds3	preds4		Year0		ID	1	2	3	4	5	6	7	8	9	10
2.7768343161	2.9052241662	3.5230712655	1.4801672218	2.7776031252		1998		glaustr01	1.3	3.4	4.3	3.3	4.4	-0.2	0.2	0	0	0
1.0852371176	0.2933281715	0.4265927618	0.4963948054	0.2850483166		2006		callaal01	3.4	0.2	-1.1	-0.8	0	0	0	0	0	0
-0.2120500166	-0.1176693613	0.0325640925	-0.0253786581	-0.0615795488		1999		gonzawi01	0.4	-0.4	0	0	0	0	0	0	0	0
-0.0807572528	-0.1002059101	0.0165295645	0.2225787311	-0.0598143167		1989		merulma01	-0.2	0	0	0	0	0	0	0	0	0
1.3374837626	1.424981591	0.9767228422	1.1621672308	0.2696151573		1973		trillma01	1.5	3.4	1.8	0.1	0.8	0.6	1.2	0.3	0.5	0
0.2728401479	0.3334828669	0.3820157307	-0.0470498712	-0.0605831249		2008		kottage01	0.2	0	0	0	0	0	0	0	0	0
1.0034396372	1.3695230109	1.1259909272	0.979148943	0.3421622036		1980		phelpke01	2.3	2.5	2.6	0.5	-1	0	0	0	0	0
5.575792596	4.643354117	5.5189862258	6.5919490309	5.9904076811		1974		yountro01	7.1	4.9	10.5	7.2	5.9	1.9	2.9	3.3	5.7	5.8
0.0926812003	-0.0995885036	0.4151815296	-0.0021674872	-0.0616992407		2009		blankky01	0.4	0	0	0	0	0	0	0	0	0
0.455532782	1.2380679003	0.8129009358	0.1077343693	0.1027436436		1994		braggda01	-1	0	1.3	-1.5	0.5	0	0	0	0	0
0.2620072595	-0.0460014694	0.1770039237	0.0759507377	-0.062299454		1993		huskebu01	0.7	-0.3	0	0	0	0	0	0	0	0
-0.2011692464	-0.4234186173	0.0410366468	-0.2023599719	-0.062666817		1996		casanra01	-0.5	0	0	0	0	0.2	0.1	0	0	0
0.8501626738	1.1702207412	-0.8489808652	0.6670149263	1.3146160117		1973		grossgr01	1.4	0.3	0.1	0.7	0.3	1.3	-0.1	0	-0.1	-0.7
0.247449014	0.4504652079	0.1136638995	0.1436264919	0.0576029676		2004		riverre01	0	-0.2	0	0.5	3.2	-2	0.5	0.1	0	0
0.4518294747	0.3186370859	0.6433453526	0.1463093905	0.2213295617		1974		cubbami01	0.1	-0.1	0	0	0	0	0	0	0	0
-0.0448448682	-0.1550081569	-0.5052161817	-0.3007106304	-0.0618428802		1996		banksbr01	0.1	-0.3	0	0	0	0	0	0	0	0
-0.0696488105	-0.0345204189	-0.1887547769	-0.1339501001	-0.0623676722		1986		morrijo07	-0.3	0	0	0	0	0	0	0	0	0
0.5602214406	0.2548071037	0.5422732583	-0.0152924514	-0.06159397		2002		langery01	0.5	0.2	1.2	-0.6	-0.2	0	0	0	0	0
4.7438843226	3.5997716575	2.2748883397	2.1985124593	1.8316368123		2007		braunry02	2.1	1	3.8	4.4	1.2	0	0	0	0	0
1.8312447	2.1072870885	2.3034015202	1.5463702824	1.0013763652		1991		claytro01	2.7	1.9	3.6	-0.4	1.6	1.3	-1.3	1.1	0.1	-0.7
0.1892068279	-0.1499510941	-0.044574954	0.204180203	-0.0645289877		1984		hatchbi01	2	-0.8	-2.8	1.9	-1	-0.1	0	0	0	0
4.8106166805	4.3904823527	5.1992551785	5.181063325	4.2451559692		1973		winfida01	8.3	3.9	2.5	3.5	2.4	5.3	3.4	3.1	1.8	5.4
-0.7309212332	-1.350091427	-0.4657793591	-0.1333600359	-0.0690433338		1986		snydeco02	1.2	-0.9	-1.1	0	0	0	0	0	0	0
0.058838499	0.1683304349	-0.1525835858	0.1275766443	0.3245658357		1971		auerbri01	-0.4	1.2	0.1	0.3	-0.5	0	0	0	0	0
0.0614824676	-0.0429864692	-0.1654616109	0.1280754991	-0.0601846078		2005		penabr01	0.5	-0.4	0.4	-0.5	0.4	-0.2	0	0	0	0
2.4118107038	2.3777343751	0.757117821	1.237517088	1.0536364554		1987		jeffegr01	5.1	1.9	1.3	1.5	1.1	1.4	-1.4	0.2	0	0
1.8153931576	2.1875092775	1.0130680612	0.3716608203	0.2780983961		2009		rasmuco01	2.6	2.2	1.2	0	0	0	0	0	0	0
3.2511654262	3.2284325172	3.3547670685	2.187898681	1.696389568		2003		peraljh01	1	2.6	3.7	1.1	3.4	5.7	1.8	-0.5	-0.3	0
0.3271744735	0.4185514119	-0.0188931912	0.1057258631	-0.0479982669		2003		diazma02	1.7	0.6	-0.9	-0.8	-0.1	0	0	0	0	0
0.3180497399	0.1240591044	0.0191649656	0.0002016135	-0.0614771307		1985		newmaal01	-0.7	1.1	0	0	0	0	0	0	0	0
1.8232474667	1.3129527378	1.3444467167	0.1506887815	0.6870704617		2008		sandopa01	3.4	-0.9	-0.2	-1.4	0	0	0	0	0	0
0.2797432423	0.1235246321	0.3068985905	-0.0188866982	0.2595216789		1975		riverbo01	0	-0.2	0	0	0	0	0	0	0	0
0.0824551837	0.0964925514	0.0550133128	-0.0884512424	-0.0600030657		2009		gimench01	0.7	-0.6	0.7	0	0	0	0	0	0	0
-0.1334795577	-0.0180397454	-0.1044106464	-0.1414382262	-0.0618338529		1990		parkeri01	0	0	0	0	0	0	0	0	0	0
0.1246442522	-0.4379799107	-0.2598641363	-0.0713769249	-0.0648712323		1993		gomezch02	-0.3	-0.2	0.3	1.3	-0.8	1	-0.3	0.6	0.2	0.1
0.2137578856	1.221171975	0.7913867924	0.3044682889	0.2242243241		1999		ankieri01	0	0	1.2	2	0.4	0.5	1.7	-0.7	-0.5	0
2.790216136	0.3553311845	0.4465317159	0.8100255132	0.6260118136		2004		bartlja01	2.5	-0.1	-0.8	0	-0.2	0	0	0	0	0
1.3430587664	1.2386877428	1.4536717583	0.9646594434	0.7991862909		1973		ashbyal01	-1	0.6	2.2	0.7	0.3	0.5	1.6	0.4	2.4	0.7
3.2682001825	4.0898290809	2.7592128946	1.8404258948	0.3229673785		1984		daviser01	3.2	1.1	-0.4	0.7	-0.3	0	3.1	1.1	3.2	0.1
-0.2321783015	0.0498165036	-0.0486967286	-0.2301515963	-0.0612335092		1995		perezed02	0	-0.4	0.3	0.4	0	0	0	0	0	0
1.9553539434	2.6781835844	1.5893909371	0.6819001056	0.0375480288		2008		spande01	3.7	0.8	1	-1.1	0	0	0	0	0	0
2.1426893291	2.1249759603	1.8071413204	0.6938558697	1.1674475175		1973		mcbriba01	3.2	3.2	-0.3	0.6	-0.6	0	0	0	0	0
0.0193808059	-0.2962558201	0.0746610578	0.0273897659	-0.0605310328		1973		davisbo02	-0.9	-0.3	0	0	0	0	0	0	0	0
1.4199412695	1.4624175165	0.4707524807	0.6580058885	0.5018723608		2000		pierrju01	2	0.9	-0.1	1.2	0.3	-0.9	2	-0.1	0	0
0.230312899	0.1078772467	-0.0589711818	-0.0126392161	-0.0615352135		1971		torreru01	-0.5	0.7	0.4	-0.2	0	0	0	0	0	0
0.436473375	0.8246550959	0.6892869238	0.1278883911	0.3204267317		1973		scottto01	1.1	0.9	1.9	-0.1	-0.2	0.2	0	0	0	0
-0.3150354	-0.3303954184	-0.3529671391	-0.1481973206	-0.0645839738		1996		foxan01	0.3	-1.3	-1.1	0	0	0	0	0	0	0
0.2532402897	0.0388565513	0.02115331	0.0218171485	0.2864536259		1980		nichore01	0.1	0.9	0	0	0	0	0	0	0	0
0.0997994275	0.1126536647	0.039699567	0.0619542503	-0.0610380831		1995		castial01	-0.2	-0.4	0	0.7	0.5	0	-0.1	0	0	0
1.357153827	0.7161542153	0.5186872883	0.059345685	0.2407492342		2006		gwynnto02	-0.2	0	-1	0	0	0	0	0	0	0
-0.1902381609	0.1203708092	0.1605046303	0.0855749881	-0.0615366548		2004		phillpa01	-0.1	0	0	0	0	0	0	0	0	0
0.4560137091	0.6404212581	-0.2538963432	0.9882671089	0.5731151626		1975		bailobo01	0.4	1.9	1.6	0.7	0.7	0	0	0	0	0
4.7300342701	4.3715841797	5.7121644695	5.1246428628	3.6327140663		1992		kentje01	4.5	3.5	7.2	5.2	7	2.8	3.9	3.7	0.7	2.1
0.2242685225	-0.2196103208	0.0023152075	0.3466705056	0.0405629804		1981		motleda01	-0.3	0	0	0	0	0	0	0	0	0
-0.455475677	-0.0722333283	-0.3650437125	-0.1731840853	-0.0648917312		1987		mcclell01	-0.4	-0.3	0	0	0	0	0	0	0	0
