"year_num","train_r2","test_r2"
7,0.328615567908909,0.355752396335365
8,0.367195101888393,0.401518622716227
9,0.433699108421303,0.443784551305181
10,0.42604119612481,0.457121210985335
11,0.42604119612481,0.491078562565489
