player_id,active_years,extra_stints,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,ob,pa,tb,war,ab_per_g,r_per_ab,batting_avg,double_per_ab,triple_per_ab,hr_per_ab,rbi_per_ab,sb_per_ob,cs_per_ob,sb_ratio,bb_per_pa,so_per_ab,slg,obp,rc,rc_per_ab,babip,iso,pa_per_so
aurilri01,6,0,575,1919.0,236.0,518.0,92.0,6.0,61.0,257.0,12.0,10.0,162.0,292.0,10.0,8.0,20.0,16.0,39.0,698.0,2135.0,805.0,18.0,3.33739130,0.12298072,0.26993226,0.04794164,0.00312663,0.03178739,0.13392392,0.01719198,0.01432665,0.54545455,0.07587822,0.15216258,0.41948932,0.32684086,263.04661221,0.12640395,0.28887484,0.14955706,7.12671233
meyerda01,6,0,666,2365.0,283.0,601.0,89.0,20.0,63.0,290.0,48.0,21.0,140.0,173.0,22.0,8.0,20.0,23.0,67.0,771.0,2578.0,919.0,-6.3,3.55105105,0.11966173,0.25412262,0.03763214,0.00845666,0.02663848,0.12262156,0.06225681,0.02723735,0.69565217,0.05430566,0.07315011,0.38858351,0.29534700,271.84790419,0.10852212,0.25000000,0.13446089,14.47976879
reesepo01,6,0,723,2482.0,325.0,627.0,119.0,15.0,40.0,230.0,132.0,24.0,200.0,440.0,19.0,23.0,24.0,21.0,32.0,869.0,2769.0,896.0,6.4,3.43291840,0.13094279,0.25261886,0.04794521,0.00604351,0.01611604,0.09266720,0.15189873,0.02761795,0.84615385,0.07222824,0.17727639,0.36099919,0.31181218,276.28337062,0.10301393,0.29016312,0.10838034,6.09545455
thompda01,6,0,596,1898.0,168.0,479.0,63.0,11.0,14.0,175.0,5.0,8.0,104.0,208.0,6.0,6.0,40.0,16.0,58.0,595.0,2070.0,606.0,1.8,3.18456376,0.08851423,0.25237092,0.03319283,0.00579557,0.00737619,0.09220232,0.00840336,0.01344538,0.38461538,0.05024155,0.10958904,0.31928346,0.29100791,176.47252747,0.08814812,0.27482270,0.06691254,9.62500000
echevan01,6,1,278,445.0,56.0,122.0,25.0,0.0,18.0,69.0,1.0,4.0,38.0,87.0,0.0,9.0,0.0,3.0,18.0,169.0,495.0,201.0,-0.8,1.60071942,0.12584270,0.27415730,0.05617978,0.00000000,0.04044944,0.15505618,0.00591716,0.02366864,0.20000000,0.07676768,0.19550562,0.45168539,0.34141414,66.58385093,0.13785476,0.30320700,0.17752809,5.55172414
balbost01,6,0,493,1750.0,204.0,412.0,81.0,7.0,100.0,276.0,1.0,1.0,155.0,512.0,11.0,10.0,0.0,14.0,34.0,588.0,1940.0,807.0,0.6,3.54969574,0.11657143,0.23542857,0.04628571,0.00400000,0.05714286,0.15771429,0.00170068,0.00170068,0.50000000,0.07989691,0.29257143,0.46114286,0.29911871,240.19370079,0.12608593,0.27083333,0.22571429,3.72070313
mcpheda01,4,0,128,371.0,53.0,91.0,21.0,2.0,18.0,45.0,5.0,3.0,27.0,126.0,1.0,1.0,0.0,0.0,8.0,120.0,400.0,170.0,0.8,2.89843750,0.14285714,0.24528302,0.05660377,0.00539084,0.04851752,0.12129380,0.04166667,0.02500000,0.62500000,0.06750000,0.33962264,0.45822102,0.29824561,50.40201005,0.12663822,0.32158590,0.21293801,3.15873016
halech01,4,0,165,373.0,44.0,107.0,18.0,1.0,4.0,44.0,2.0,3.0,35.0,38.0,1.0,7.0,4.0,7.0,5.0,150.0,427.0,139.0,1.4,2.26060606,0.11796247,0.28686327,0.04825737,0.00268097,0.01072386,0.11796247,0.01333333,0.02000000,0.40000000,0.08196721,0.10187668,0.37265416,0.35308057,48.37745098,0.11857218,0.30473373,0.08579088,10.73684211
hartco01,6,0,521,1831.0,267.0,500.0,117.0,21.0,67.0,260.0,64.0,28.0,129.0,370.0,6.0,24.0,10.0,21.0,45.0,659.0,2021.0,860.0,14.7,3.51439539,0.14582196,0.27307482,0.06389951,0.01146914,0.03659203,0.14199891,0.09711684,0.04248862,0.69565217,0.06382979,0.20207537,0.46968869,0.32568579,275.98979592,0.14081112,0.30600707,0.19661387,5.29729730
lyonsst01,6,1,690,1872.0,240.0,480.0,89.0,14.0,15.0,175.0,30.0,24.0,140.0,316.0,7.0,5.0,41.0,19.0,20.0,632.0,2084.0,642.0,1.9,2.71304348,0.12820513,0.25641026,0.04754274,0.00747863,0.00801282,0.09348291,0.04746835,0.03797468,0.55555556,0.06717850,0.16880342,0.34294872,0.30697446,197.83300199,0.09832654,0.29807692,0.08653846,6.36708861
