player_id,active_years,extra_stints,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bfp,gf,r,tbf,war,era,baopp,tbf_per_g,starter_ratio,w_per_g,l_per_g,p_win,gf_per_g,cg_per_g,sho_per_g,sv_per_g,ipouts_per_g,bb_per_bfp,hbp_per_bfp,hr_per_tbf,so_per_tbf,wp_per_bfp,so_per_bb
krukomi01,6,0,150,45,50,140,9,3,0,2485.0,844,384,64,332,538,35.0,25.0,21.0,3597.0,3.0,431,3244.0,21.5,4.17223340,0.26017263,21.62666667,0.93333333,0.30000000,0.33333333,0.47368421,0.02000000,0.06000000,0.02000000,0.00000000,16.56666667,0.09229914,0.00583820,0.01972873,0.16584464,0.00695024,1.62048193
soriajo01,5,0,298,13,15,0,0,0,160,946.0,242,84,24,87,341,6.0,10.0,13.0,1278.0,239.0,89,1155.0,16.7,2.39746300,0.20952381,3.87583893,0.00000000,0.04362416,0.05033557,0.46428571,0.80201342,0.00000000,0.00000000,0.53691275,3.17449664,0.06807512,0.01017214,0.02077922,0.29523810,0.00782473,3.91954023
wickmbo01,6,1,309,41,20,28,1,1,12,1595.0,533,231,42,234,351,23.0,21.0,21.0,2309.0,80.0,253,2054.0,16.8,3.91034483,0.25949367,6.64724919,0.09061489,0.13268608,0.06472492,0.67213115,0.25889968,0.00323625,0.00323625,0.03883495,5.16181230,0.10134257,0.00909485,0.02044791,0.17088608,0.00909485,1.50000000
davieky01,6,1,138,42,56,131,3,0,0,2120.0,792,431,92,341,495,11.0,38.0,17.0,3185.0,2.0,460,2792.0,0.1,5.48915094,0.28366762,20.23188406,0.94927536,0.30434783,0.40579710,0.42857143,0.01449275,0.02173913,0.00000000,0.00000000,15.36231884,0.10706436,0.00533752,0.03295129,0.17729226,0.01193093,1.45161290
olsongr01,6,0,320,17,21,0,0,0,160,1051.0,281,88,10,158,347,22.0,31.0,5.0,1463.0,277.0,92,1300.0,12.9,2.26070409,0.21615385,4.06250000,0.00000000,0.05312500,0.06562500,0.44736842,0.86562500,0.00000000,0.00000000,0.50000000,3.28437500,0.10799727,0.00341763,0.00769231,0.26692308,0.02118934,2.19620253
powelbr01,5,0,42,6,16,32,0,0,0,541.0,212,123,40,74,96,2.0,5.0,4.0,816.0,3.0,135,732.0,-1.1,6.13863216,0.28961749,17.42857143,0.76190476,0.14285714,0.38095238,0.27272727,0.07142857,0.00000000,0.00000000,0.00000000,12.88095238,0.09068627,0.00490196,0.05464481,0.13114754,0.00612745,1.29729730
quantpa01,6,1,259,33,51,64,1,1,8,1926.0,757,294,73,186,363,32.0,3.0,17.0,2809.0,64.0,339,2606.0,18.0,4.12149533,0.29048350,10.06177606,0.24710425,0.12741313,0.19691120,0.39285714,0.24710425,0.00386100,0.00386100,0.03088803,7.43629344,0.06621574,0.00605198,0.02801228,0.13929394,0.00106800,1.95161290
martiti01,6,1,194,24,10,2,0,0,35,949.0,274,112,9,181,222,16.0,26.0,5.0,1360.0,106.0,128,1174.0,8.4,3.18651212,0.23339012,6.05154639,0.01030928,0.12371134,0.05154639,0.70588235,0.54639175,0.00000000,0.00000000,0.18041237,4.89175258,0.13308824,0.00367647,0.00766610,0.18909710,0.01911765,1.22651934
medicdo01,6,2,170,69,58,163,48,9,0,3429.0,1145,454,99,341,597,31.0,24.0,19.0,4817.0,4.0,504,4457.0,20.0,3.57480315,0.25689926,26.21764706,0.95882353,0.40588235,0.34117647,0.54330709,0.02352941,0.28235294,0.05294118,0.00000000,20.17058824,0.07079095,0.00394436,0.02221225,0.13394660,0.00498235,1.75073314
balleja01,4,0,83,4,8,5,0,0,6,429.0,155,77,20,67,107,13.0,9.0,4.0,645.0,30.0,84,574.0,-0.7,4.84615385,0.27003484,6.91566265,0.06024096,0.04819277,0.09638554,0.33333333,0.36144578,0.00000000,0.00000000,0.07228916,5.16867470,0.10387597,0.00620155,0.03484321,0.18641115,0.01395349,1.59701493
