player_id,start_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf
turnbde01,2000,108,9,1,1,0,0,39,381.0,94,34,12,70,107,2.0,12.0,3.0,1,531.0,89.0,37,0.0,1.0,457.0
gardnwe01,1984,138,15,22,35,1,0,13,1089.0,367,195,45,169,288,20.0,14.0,6.0,0,1595.0,63.0,214,,,1420.0
cottsne01,2003,265,10,10,5,0,0,1,736.0,231,123,35,122,226,15.0,17.0,14.0,0,1085.0,47.0,132,8.0,7.0,934.0
welchbo01,1978,170,66,47,147,23,12,8,2962.0,868,341,71,331,691,21.0,20.0,18.0,14,4071.0,16.0,378,,,3722.0
cadargr01,1987,301,33,27,35,4,2,10,1734.0,561,251,43,314,432,24.0,34.0,9.0,7,2531.0,65.0,277,,,2208.0
moretro01,1970,116,41,18,60,23,5,6,1677.0,490,213,47,272,334,16.0,16.0,9.0,1,2379.0,22.0,229,,,2098.0
parrama01,2007,172,26,33,74,0,0,0,1539.0,582,292,59,262,479,11.0,42.0,11.0,4,2361.0,20.0,327,22.0,16.0,2050.0
sloweke01,2007,100,39,29,90,3,2,0,1598.0,606,276,84,84,395,2.0,10.0,16.0,0,2264.0,1.0,287,9.0,26.0,2129.0
germaju01,2004,47,8,16,35,0,0,0,615.0,226,120,25,70,119,6.0,5.0,10.0,0,900.0,7.0,131,9.0,2.0,809.0
jenksbo01,2005,329,14,18,0,0,0,173,1025.0,302,129,25,110,334,23.0,16.0,8.0,0,1419.0,282.0,137,16.0,8.0,1277.0
riverma01,1995,332,33,17,10,0,0,165,1357.0,358,132,26,144,395,16.0,7.0,8.0,2,1852.0,245.0,139,5.0,2.0,1693.0
guthrma01,1989,204,24,24,43,3,1,8,1342.0,480,207,43,158,340,17.0,27.0,5.0,3,1920.0,45.0,230,,,1757.0
lohseky01,2001,184,54,62,163,4,3,0,2914.0,1095,525,135,308,612,17.0,36.0,44.0,3,4253.0,10.0,555,28.0,32.0,3841.0
mcdowja01,1987,132,59,39,132,33,4,0,2718.0,811,351,73,308,633,16.0,34.0,27.0,3,3763.0,0.0,376,,,3428.0
hamelco01,2006,181,74,54,180,10,4,0,3484.0,1033,438,141,292,1091,26.0,17.0,25.0,3,4735.0,0.0,464,40.0,23.0,4355.0
burketi01,1985,388,40,22,2,0,0,96,1663.0,476,153,38,175,370,59.0,18.0,16.0,2,2287.0,212.0,176,,,2096.0
graveda01,1996,299,28,18,0,0,0,97,1259.0,400,162,35,167,248,22.0,14.0,11.0,2,1782.0,210.0,185,9.0,6.0,1589.0
rincoju01,2001,299,25,21,3,0,0,3,1060.0,316,128,20,138,343,14.0,18.0,12.0,1,1494.0,79.0,149,15.0,11.0,1318.0
baileho02,2007,111,38,33,111,3,2,0,1932.0,668,322,78,222,506,14.0,21.0,22.0,3,2781.0,0.0,349,21.0,22.0,2494.0
mahayro01,1997,114,9,2,3,0,0,2,441.0,137,74,27,77,121,3.0,11.0,2.0,0,643.0,27.0,82,1.0,2.0,561.0
allenne01,1979,305,44,52,28,5,3,72,1867.0,600,247,38,276,425,53.0,29.0,2.0,2,2660.0,181.0,275,,,2382.0
wehrmda01,1976,46,2,7,10,0,0,0,310.0,122,72,9,67,51,8.0,4.0,3.0,1,491.0,7.0,79,,,421.0
bibbyji01,1972,186,61,69,148,41,13,5,3155.0,955,454,77,462,662,20.0,51.0,25.0,7,4476.0,15.0,504,,,3989.0
blairwi01,1990,200,23,35,50,1,0,3,1563.0,592,275,56,189,339,16.0,20.0,13.0,1,2310.0,39.0,314,,,2108.0
holtzmi01,1996,301,14,18,0,0,0,3,610.0,200,103,20,97,195,14.0,15.0,12.0,0,900.0,54.0,118,7.0,4.0,780.0
mcculla01,1985,301,27,31,9,0,0,39,1564.0,426,187,47,244,439,42.0,21.0,10.0,7,2198.0,154.0,215,,,1944.0
valerju01,1990,54,12,18,36,4,2,4,768.0,286,127,24,90,148,8.0,7.0,4.0,0,1113.0,9.0,137,,,1019.0
veresra01,1989,39,1,5,1,0,0,1,179.0,59,27,8,22,29,3.0,3.0,2.0,0,254.0,14.0,28,,,230.0
daviswa01,2009,220,45,35,88,2,1,3,1998.0,643,289,69,248,564,8.0,21.0,20.0,0,2848.0,28.0,309,9.0,20.0,2551.0
hansoer01,1988,145,56,54,143,21,3,0,2902.0,949,397,73,285,740,17.0,43.0,22.0,4,4048.0,0.0,432,,,3741.0
rijojo01,1984,164,39,44,92,6,1,3,2025.0,630,290,58,321,601,21.0,18.0,13.0,14,2928.0,33.0,335,,,2594.0
bereja01,1993,113,42,34,108,2,0,0,1784.0,562,339,74,380,490,7.0,29.0,18.0,0,2690.0,2.0,370,,,2292.0
carrido01,1970,124,22,19,48,9,3,3,1234.0,426,200,36,183,201,13.0,30.0,18.0,0,1827.0,20.0,234,,,1626.0
travebi01,1974,162,53,61,132,39,9,1,2742.0,920,407,108,345,397,19.0,38.0,36.0,0,3940.0,13.0,456,,,3559.0
oflaher01,2006,290,14,9,0,0,0,0,732.0,227,85,11,87,188,20.0,12.0,17.0,1,1038.0,35.0,96,10.0,6.0,918.0
duckwbr01,2001,101,17,26,74,0,0,0,1279.0,463,257,58,186,335,21.0,24.0,30.0,0,1916.0,9.0,276,27.0,11.0,1662.0
valdeis01,1994,176,61,54,150,10,5,1,3075.0,963,385,104,286,756,24.0,16.0,15.0,14,4275.0,8.0,427,,,3974.0
dopsojo01,1985,63,15,21,61,3,0,0,1106.0,354,152,35,140,209,3.0,12.0,3.0,16,1576.0,0.0,177,,,1433.0
drabedo01,1986,192,84,59,183,26,12,0,3713.0,1135,438,108,333,719,18.0,25.0,18.0,2,5051.0,3.0,486,,,4700.0
hochelu01,2007,132,38,59,128,5,2,0,2313.0,825,462,95,257,531,9.0,34.0,40.0,3,3336.0,1.0,495,12.0,9.0,3018.0
manzara01,1988,2,0,1,2,0,0,0,28.0,7,6,1,12,10,0.0,1.0,1.0,0,46.0,0.0,6,,,33.0
sarmima01,1976,141,14,13,5,0,0,7,794.0,234,109,27,90,153,18.0,2.0,3.0,2,1100.0,55.0,120,,,1007.0
smithmi03,1982,169,60,66,167,39,5,0,3258.0,1154,527,122,311,597,19.0,41.0,57.0,8,4668.0,1.0,574,,,4300.0
sturtta01,1995,47,7,3,12,0,0,0,360.0,139,79,18,55,71,1.0,3.0,3.0,1,537.0,13.0,82,1.0,2.0,476.0
willije02,2003,76,23,29,71,2,1,0,1276.0,407,201,46,171,258,6.0,8.0,35.0,3,1837.0,1.0,223,22.0,24.0,1585.0
bucknbi02,2007,36,6,11,21,0,0,0,415.0,173,96,24,54,103,1.0,9.0,6.0,0,616.0,6.0,99,2.0,3.0,551.0
hartzpa01,1976,166,27,38,76,22,2,12,2079.0,749,296,49,175,234,26.0,15.0,23.0,2,2928.0,58.0,339,,,2730.0
houseto01,1971,221,19,14,1,0,0,32,969.0,277,116,27,122,187,29.0,11.0,11.0,3,1343.0,134.0,135,,,1210.0
kileda01,1991,175,52,58,148,10,2,0,2833.0,920,432,70,468,768,25.0,51.0,62.0,15,4185.0,7.0,493,,,3655.0
corbedo01,1980,256,20,26,1,0,0,55,1354.0,406,152,33,165,291,44.0,11.0,5.0,2,1878.0,179.0,170,,,1708.0
patteda04,1996,288,24,16,0,0,0,4,966.0,354,142,27,90,206,17.0,15.0,9.0,1,1368.0,89.0,152,8.0,5.0,1256.0
rhodear01,1991,97,26,25,61,5,3,1,1191.0,392,242,53,211,335,8.0,12.0,4.0,2,1753.0,8.0,251,,,1538.0
swiftbi02,1985,182,29,38,86,7,1,7,2006.0,753,321,34,227,244,20.0,25.0,29.0,10,2907.0,32.0,373,,,2651.0
luebbst01,1971,58,6,10,24,2,1,3,569.0,185,91,16,101,81,7.0,6.0,5.0,1,828.0,16.0,99,,,722.0
romerjc01,1999,259,21,17,22,0,0,2,1052.0,345,175,32,170,288,18.0,26.0,17.0,3,1539.0,48.0,189,15.0,5.0,1332.0
jonesba01,1986,281,26,26,0,0,0,22,1068.0,316,125,27,156,213,30.0,20.0,4.0,4,1493.0,108.0,145,,,1333.0
milledy01,1975,228,22,17,1,0,0,22,1281.0,410,153,33,162,213,23.0,9.0,8.0,3,1805.0,130.0,164,,,1635.0
estessh01,1995,133,55,42,133,9,6,0,2493.0,794,397,63,444,686,14.0,50.0,24.0,4,3634.0,0.0,433,7.0,6.0,3153.0
madurca01,1996,56,8,14,29,0,0,0,610.0,208,132,31,96,111,6.0,9.0,11.0,2,892.0,9.0,134,1.0,2.0,782.0
milleju01,2002,107,17,9,33,0,0,0,744.0,262,147,34,132,191,11.0,13.0,16.0,2,1115.0,12.0,159,6.0,12.0,949.0
lemanda01,1973,132,25,44,73,19,0,0,1980.0,737,352,63,276,337,18.0,34.0,12.0,2,2917.0,28.0,395,,,2629.0
merckke01,1989,204,24,17,28,2,1,19,1118.0,300,134,33,181,324,13.0,21.0,8.0,3,1576.0,84.0,148,,,1387.0
sosael01,1972,293,29,27,2,0,0,34,1338.0,404,173,31,178,273,31.0,19.0,11.0,2,1887.0,149.0,206,,,1698.0
hendrma01,2002,179,43,55,135,5,2,0,2532.0,985,470,102,238,464,16.0,23.0,16.0,4,3695.0,5.0,523,32.0,30.0,3379.0
hernaxa01,1989,253,22,18,7,0,0,25,1187.0,355,157,34,155,320,25.0,21.0,11.0,0,1684.0,88.0,178,,,1518.0
mitrese01,2003,78,10,23,52,1,1,0,932.0,372,185,34,108,188,10.0,17.0,23.0,1,1406.0,13.0,199,12.0,15.0,1248.0
pattebo01,1985,96,15,15,20,0,0,6,614.0,222,106,19,59,138,15.0,2.0,4.0,4,881.0,27.0,111,,,818.0
reyesal01,1995,173,13,7,0,0,0,2,633.0,179,100,28,113,202,7.0,8.0,14.0,0,922.0,53.0,102,1.0,2.0,792.0
zambrvi01,2001,174,45,41,96,1,0,3,2050.0,637,338,72,382,513,11.0,44.0,58.0,5,3062.0,34.0,373,19.0,34.0,2569.0
borbope02,1992,89,5,3,0,0,0,3,213.0,60,27,3,28,67,5.0,0.0,2.0,1,301.0,40.0,29,,,271.0
baileco01,1993,82,5,5,0,0,0,0,281.0,98,44,5,52,65,8.0,6.0,1.0,1,414.0,24.0,47,,,361.0
bernead01,2000,146,10,26,34,0,0,0,1083.0,408,237,55,131,235,8.0,11.0,20.0,1,1608.0,34.0,250,12.0,23.0,1422.0
myersro01,1996,148,6,4,1,0,0,1,622.0,225,115,26,96,144,6.0,10.0,9.0,1,921.0,35.0,124,1.0,4.0,811.0
wengedo01,1995,156,14,30,44,2,1,3,1268.0,536,271,71,151,222,11.0,8.0,18.0,0,1917.0,45.0,285,0.0,0.0,1748.0
duchsju01,2001,180,18,13,5,0,0,14,806.0,245,100,30,67,221,9.0,7.0,14.0,1,1107.0,60.0,107,13.0,3.0,1010.0
austiri01,1970,86,4,8,8,1,1,6,392.0,131,67,16,78,103,15.0,5.0,7.0,0,592.0,33.0,70,,,507.0
clydeda01,1973,75,15,29,65,9,0,0,1112.0,407,184,26,167,211,4.0,25.0,11.0,2,1637.0,5.0,210,,,1459.0
bonesri01,1991,166,51,62,149,10,1,0,2832.0,1016,495,131,325,356,8.0,28.0,34.0,5,4106.0,3.0,544,,,3747.0
medlekr01,2009,152,34,20,61,2,1,1,1538.0,471,168,42,121,434,4.0,9.0,13.0,2,2080.0,24.0,185,23.0,7.0,1916.0
mclaujo01,1977,179,20,23,12,0,0,27,1022.0,332,141,31,141,197,20.0,6.0,6.0,0,1455.0,101.0,163,,,1308.0
zitoba01,2000,188,86,53,188,9,4,0,3628.0,1017,470,121,461,945,9.0,22.0,52.0,3,5053.0,0.0,521,37.0,34.0,4469.0
olivaom01,1990,157,30,28,87,2,0,3,1943.0,655,303,60,255,346,13.0,19.0,27.0,5,2772.0,20.0,320,,,2490.0
manshje01,2009,72,4,9,10,0,0,0,418.0,168,100,18,58,90,8.0,2.0,2.0,0,631.0,15.0,105,6.0,9.0,556.0
solomed01,1973,95,11,13,26,0,0,3,752.0,275,120,29,112,148,16.0,14.0,6.0,5,1124.0,28.0,152,,,1006.0
abbotgl01,1973,138,32,44,107,22,2,0,1953.0,704,324,79,207,289,17.0,12.0,20.0,2,2811.0,9.0,358,,,2584.0
choatra01,2000,164,5,6,0,0,0,0,447.0,133,78,5,84,117,14.0,9.0,19.0,1,666.0,49.0,85,2.0,6.0,555.0
barkele01,1976,133,39,31,82,20,5,5,1958.0,639,302,37,267,498,9.0,41.0,11.0,1,2816.0,25.0,328,,,2538.0
belisma01,2003,132,16,22,43,1,0,1,1025.0,413,192,47,96,230,11.0,14.0,17.0,1,1514.0,24.0,210,15.0,16.0,1370.0
loopebr01,1998,372,19,17,0,0,0,46,1174.0,390,161,31,155,246,18.0,11.0,10.0,2,1688.0,173.0,181,9.0,8.0,1506.0
mooremi01,1982,190,57,81,185,47,6,1,3685.0,1302,613,122,472,755,25.0,38.0,26.0,8,5325.0,3.0,679,,,4827.0
barlomi01,1975,121,10,6,2,0,0,6,695.0,257,120,15,98,91,14.0,13.0,11.0,1,1017.0,53.0,136,,,908.0
lerchra01,1975,136,35,41,113,16,1,1,2180.0,805,357,71,261,334,15.0,23.0,5.0,7,3147.0,10.0,393,,,2881.0
humbeph01,2006,54,11,10,28,0,0,0,643.0,210,98,21,65,151,6.0,12.0,8.0,1,909.0,9.0,101,2.0,6.0,828.0
powelja04,1995,308,24,17,0,0,0,15,995.0,318,145,18,168,276,19.0,12.0,16.0,0,1466.0,111.0,162,1.0,0.0,1281.0
steveda01,1994,181,15,16,6,0,0,21,744.0,293,164,47,131,166,11.0,9.0,4.0,4,1148.0,91.0,170,,,1013.0
butchjo01,1980,135,35,41,95,21,5,6,2139.0,763,321,62,192,318,18.0,13.0,13.0,1,3023.0,18.0,351,,,2818.0
redmama01,1999,139,48,51,127,8,0,0,2420.0,854,392,91,255,523,11.0,37.0,22.0,4,3469.0,3.0,425,25.0,22.0,3145.0
sandesc02,1993,168,30,38,82,2,1,3,1732.0,562,304,74,223,543,23.0,33.0,14.0,3,2507.0,31.0,330,,,2270.0
sherrge01,2004,324,14,14,0,0,0,56,752.0,195,93,20,117,257,18.0,7.0,6.0,2,1058.0,116.0,96,11.0,12.0,912.0
osunaan01,1995,265,24,21,0,0,0,10,981.0,261,119,32,141,346,18.0,9.0,9.0,4,1360.0,89.0,131,4.0,3.0,1203.0
tejedro01,2005,177,23,26,53,0,0,0,1304.0,385,212,45,243,369,10.0,29.0,21.0,4,1911.0,37.0,235,11.0,20.0,1616.0
carraca01,2009,88,19,26,54,3,1,1,1117.0,384,178,38,112,304,8.0,10.0,9.0,1,1583.0,17.0,187,9.0,15.0,1438.0
neaglde01,1991,200,45,39,104,9,1,3,2267.0,773,344,86,229,585,21.0,20.0,14.0,3,3205.0,23.0,368,,,2962.0
moehlbr01,1996,128,47,51,128,10,6,0,2368.0,886,394,95,225,433,8.0,14.0,16.0,1,3398.0,0.0,428,3.0,4.0,3150.0
condrcl01,2002,78,9,6,9,0,0,2,418.0,159,75,15,54,84,10.0,2.0,10.0,1,624.0,26.0,80,8.0,6.0,546.0
fireost01,1981,28,2,1,5,0,0,0,195.0,83,24,3,15,27,0.0,2.0,1.0,1,277.0,10.0,26,,,261.0
sanchan01,2006,114,39,38,113,6,4,0,2020.0,650,278,59,272,566,22.0,19.0,25.0,7,2915.0,0.0,304,36.0,11.0,2571.0
knighbr01,2001,11,0,0,0,0,0,0,58.0,29,23,7,8,14,0.0,1.0,0.0,0,93.0,7.0,24,0.0,0.0,85.0
laceybo01,1977,242,18,24,1,1,1,22,1173.0,397,157,43,126,218,37.0,17.0,3.0,1,1665.0,113.0,182,,,1536.0
mccaski01,1985,162,68,55,159,29,11,0,3130.0,998,440,90,382,643,7.0,42.0,17.0,7,4391.0,1.0,483,,,3992.0
boehrbr01,1995,152,16,19,21,0,0,0,895.0,299,150,39,165,240,17.0,9.0,7.0,0,1344.0,39.0,162,0.0,1.0,1171.0
telfoan01,1990,20,3,3,9,0,0,0,211.0,81,40,10,26,50,1.0,3.0,2.0,0,311.0,6.0,42,,,283.0
willica01,1984,63,2,6,2,0,0,2,311.0,125,68,12,51,43,12.0,6.0,1.0,1,470.0,18.0,76,,,418.0
worreto01,1985,281,28,30,0,0,0,126,1085.0,300,106,30,142,301,56.0,13.0,2.0,5,1498.0,218.0,118,,,1354.0
vuckope01,1975,201,53,43,102,26,6,10,2767.0,901,362,65,317,616,24.0,34.0,16.0,8,3879.0,67.0,407,,,3546.0
andujjo01,1976,190,48,49,111,24,5,7,2510.0,785,339,43,351,372,20.0,15.0,11.0,13,3567.0,27.0,385,,,3205.0
mcmicgr01,1993,402,30,28,0,0,0,53,1419.0,436,162,33,169,424,42.0,27.0,7.0,4,1999.0,153.0,188,,,1823.0
morgami01,1978,62,9,27,43,5,0,0,856.0,336,160,29,146,110,5.0,16.0,5.0,0,1287.0,4.0,172,,,1136.0
fuentbr01,2001,307,13,17,0,0,0,65,894.0,250,120,32,134,342,16.0,21.0,32.0,1,1281.0,160.0,124,14.0,8.0,1093.0
