player_id,end_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf
jacksmi02,1995,224,21,15,0,0,0,9,752.0,195,80,23,87,242,17.0,4.0,10.0,3,1021.0,63.0,84,,,924.0
delosva01,2005,44,1,2,0,0,0,0,101.0,36,23,4,22,26,5.0,7.0,2.0,0,159.0,6.0,23,1.0,1.0,133.0
monteri01,1996,102,12,10,0,0,0,0,466.0,159,75,26,53,76,12.0,2.0,1.0,3,663.0,23.0,83,,,609.0
garresc01,1991,134,32,26,63,6,3,13,1479.0,444,186,35,171,293,21.0,20.0,5.0,6,2055.0,42.0,205,,,1879.0
donnebr01,2010,83,7,1,0,0,0,2,209.0,68,37,9,44,59,2.0,2.0,2.0,2,315.0,26.0,42,4.0,5.0,260.0
byrdpa01,2004,71,31,25,68,8,2,0,1338.0,467,200,66,83,260,2.0,6.0,11.0,1,1861.0,1.0,222,9.0,22.0,1736.0
calerki01,2009,67,2,2,0,0,0,0,180.0,36,13,1,30,69,4.0,2.0,1.0,0,239.0,15.0,13,4.0,4.0,200.0
ruschgl01,2006,135,19,30,63,2,1,3,1394.0,559,266,56,164,353,14.0,5.0,10.0,2,2084.0,17.0,283,33.0,14.0,1863.0
fossuca01,2009,74,8,9,10,0,0,0,364.0,157,92,19,49,84,2.0,4.0,9.0,0,562.0,16.0,98,2.0,7.0,495.0
harrigr01,1990,201,26,29,50,1,0,2,1606.0,508,224,46,243,370,33.0,32.0,16.0,5,2320.0,60.0,262,,,2061.0
hollaal01,1986,217,15,19,1,0,0,59,953.0,259,111,36,100,260,29.0,2.0,1.0,4,1307.0,152.0,121,,,1206.0
gaudich01,2012,129,12,17,25,0,0,0,871.0,303,158,37,135,259,9.0,13.0,19.0,2,1306.0,39.0,179,20.0,12.0,1120.0
lirafe01,2001,4,0,0,0,0,0,0,15.0,11,7,1,2,3,0.0,0.0,0.0,0,28.0,1.0,7,1.0,0.0,25.0
habyajo01,1994,222,12,9,0,0,0,11,799.0,266,97,16,81,199,19.0,7.0,4.0,5,1108.0,69.0,104,,,1023.0
mingost01,1979,173,11,16,1,0,0,22,795.0,265,95,22,77,103,18.0,7.0,8.0,1,1115.0,78.0,110,,,1030.0
shirlbo01,1986,153,13,20,38,4,1,5,1310.0,452,195,36,140,220,8.0,3.0,3.0,1,1844.0,32.0,212,,,1701.0
loaizes01,2004,126,51,37,116,7,3,0,2252.0,844,391,94,205,521,11.0,9.0,26.0,2,3247.0,2.0,414,15.0,26.0,2975.0
volqued01,2014,117,38,37,115,2,1,0,1963.0,625,326,69,318,560,17.0,45.0,30.0,3,2877.0,0.0,349,32.0,20.0,2477.0
houghch01,1979,244,30,30,15,0,0,47,1544.0,421,196,38,261,328,15.0,32.0,28.0,1,2203.0,149.0,222,,,1914.0
hernaor01,2007,95,37,27,90,1,0,1,1569.0,474,249,72,211,467,10.0,9.0,34.0,5,2234.0,1.0,262,18.0,14.0,1957.0
putzjj01,2012,206,11,16,0,0,0,82,587.0,156,65,13,57,210,7.0,10.0,5.0,0,801.0,126.0,69,6.0,7.0,726.0
raggibr01,2003,10,0,0,0,0,0,1,25.0,9,6,1,6,8,1.0,0.0,0.0,0,38.0,4.0,6,1.0,0.0,31.0
rincori01,2006,203,10,6,0,0,0,0,420.0,130,60,15,78,113,12.0,5.0,6.0,0,625.0,31.0,66,11.0,4.0,526.0
pulsibi01,2001,37,0,0,0,0,0,0,90.0,36,20,5,21,20,0.0,1.0,3.0,0,146.0,8.0,23,0.0,2.0,120.0
sotoma01,1986,122,52,45,122,41,5,0,2618.0,697,332,99,332,708,21.0,16.0,13.0,4,3601.0,0.0,368,,,3256.0
casiala01,1998,83,1,4,0,0,0,0,193.0,70,33,10,20,44,5.0,2.0,4.0,0,277.0,14.0,34,,,253.0
aldresc01,1999,167,12,22,40,0,0,1,992.0,388,221,52,137,206,12.0,23.0,13.0,1,1487.0,22.0,234,,,1337.0
