player_id,start_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf,era,baopp,tbf_per_g,starter_ratio,w_per_g,l_per_g,p_win,gf_per_g,cg_per_g,sho_per_g,sv_per_g,ipouts_per_g,bb_per_bfp,bk_per_bfp,hbp_per_bfp,hr_per_tbf,so_per_tbf,wp_per_bfp,so_per_bb
gregelu01,2009,435,22,27,0,0,0,19,1258.0,330,128,29,122,411,22.0,16.0,14.0,0,1702.0,76.0,145,21.0,5.0,1540.0,2.7472178060413355,0.21428571428571428571,3.5402298850574713,0.00000000000000000000,0.05057471264367816092,0.06206896551724137931,0.44897959183673469388,0.17471264367816091954,0.00000000000000000000,0.00000000000000000000,0.04367816091954022989,2.8919540229885057,0.07168037602820211516,0.00000000000000000000,0.00822561692126909518,0.01883116883116883117,0.26688311688311688312,0.00940070505287896592,3.3688524590163934
mintogr01,1975,141,10,15,6,0,0,23,730.0,227,89,4,96,99,18.0,22.0,5.0,6,1020.0,64.0,107,,,919.0,3.2917808219178082,0.24700761697497279652,6.5177304964539007,0.04255319148936170213,0.07092198581560283688,0.10638297872340425532,0.40000000000000000000,0.45390070921985815603,0.00000000000000000000,0.00000000000000000000,0.16312056737588652482,5.1773049645390071,0.09411764705882352941,0.00588235294117647059,0.00490196078431372549,0.00435255712731229597,0.10772578890097932535,0.02156862745098039216,1.0312500000000000
towerjo01,2001,112,40,45,97,4,2,1,1857.0,752,336,104,100,311,10.0,5.0,28.0,3,2664.0,6.0,365,10.0,22.0,2504.0,4.8852988691437803,0.30031948881789137380,22.3571428571428571,0.86607142857142857143,0.35714285714285714286,0.40178571428571428571,0.47058823529411764706,0.05357142857142857143,0.03571428571428571429,0.01785714285714285714,0.00892857142857142857,16.5803571428571429,0.03753753753753753754,0.00112612612612612613,0.01051051051051051051,0.04153354632587859425,0.12420127795527156550,0.00187687687687687688,3.1100000000000000
hillesh01,1987,163,21,32,51,1,1,10,1364.0,443,217,46,205,303,15.0,20.0,9.0,1,1977.0,53.0,236,,,1763.0,4.2954545454545455,0.25127623369256948383,10.8159509202453988,0.31288343558282208589,0.12883435582822085890,0.19631901840490797546,0.39622641509433962264,0.32515337423312883436,0.00613496932515337423,0.00613496932515337423,0.06134969325153374233,8.3680981595092025,0.10369246332827516439,0.00050581689428426909,0.00455235204855842185,0.02609188882586500284,0.17186613726602382303,0.01011633788568538189,1.4780487804878049
contrjo01,2003,163,65,50,152,5,3,0,2856.0,951,483,111,341,693,9.0,64.0,50.0,2,4121.0,4.0,531,24.0,29.0,3677.0,4.5661764705882353,0.25863475659505031275,22.5582822085889571,0.93251533742331288344,0.39877300613496932515,0.30674846625766871166,0.56521739130434782609,0.02453987730061349693,0.03067484662576687117,0.01840490797546012270,0.00000000000000000000,17.5214723926380368,0.08274690609075467120,0.00048531909730647901,0.01213297743266197525,0.03018765297797117215,0.18846886048409029100,0.01553021111380732832,2.0322580645161290
cruzju02,2001,187,19,30,38,0,0,1,1207.0,367,193,41,203,377,12.0,11.0,34.0,0,1772.0,58.0,218,25.0,15.0,1495.0,4.3173156586578293,0.24548494983277591973,7.9946524064171123,0.20320855614973262032,0.10160427807486631016,0.16042780748663101604,0.38775510204081632653,0.31016042780748663102,0.00000000000000000000,0.00000000000000000000,0.00534759358288770053,6.4545454545454545,0.11455981941309255079,0.00000000000000000000,0.01918735891647855530,0.02742474916387959866,0.25217391304347826087,0.00620767494356659142,1.8571428571428571
weathda01,1991,125,17,24,57,0,0,0,1133.0,455,230,34,185,235,21.0,19.0,18.0,1,1745.0,15.0,253,,,1542.0,5.4810238305383936,0.29507133592736705577,12.3360000000000000,0.45600000000000000000,0.13600000000000000000,0.19200000000000000000,0.41463414634146341463,0.12000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,9.0640000000000000,0.10601719197707736390,0.00057306590257879656,0.01031518624641833811,0.02204928664072632944,0.15239948119325551232,0.01088825214899713467,1.2702702702702703
nelsoje01,1992,377,20,24,0,0,0,13,1245.0,349,153,32,198,419,44.0,15.0,34.0,0,1779.0,120.0,173,,,1547.0,3.3180722891566265,0.22559793148028442146,4.1034482758620690,0.00000000000000000000,0.05305039787798408488,0.06366047745358090186,0.45454545454545454545,0.31830238726790450928,0.00000000000000000000,0.00000000000000000000,0.03448275862068965517,3.3023872679045093,0.11129848229342327150,0.00000000000000000000,0.01911186059584035975,0.02068519715578539108,0.27084680025856496445,0.00843170320404721754,2.1161616161616162
rozemda01,1977,150,42,37,96,35,7,8,2404.0,796,296,79,186,292,30.0,18.0,24.0,2,3308.0,32.0,337,,,3098.0,3.3244592346089850,0.25693996126533247256,20.6533333333333333,0.64000000000000000000,0.28000000000000000000,0.24666666666666666667,0.53164556962025316456,0.21333333333333333333,0.23333333333333333333,0.04666666666666666667,0.05333333333333333333,16.0266666666666667,0.05622732769044740024,0.00060459492140266022,0.00725513905683192261,0.02550032278889606198,0.09425435765009683667,0.00544135429262394196,1.5698924731182796
urbinug01,1995,251,29,25,21,0,0,110,1080.0,287,137,42,161,423,15.0,17.0,2.0,3,1518.0,184.0,152,0.0,0.0,1355.0,3.4250000000000000,0.21180811808118081181,5.3984063745019920,0.08366533864541832669,0.11553784860557768924,0.09960159362549800797,0.53703703703703703704,0.73306772908366533865,0.00000000000000000000,0.00000000000000000000,0.43824701195219123506,4.3027888446215139,0.10606060606060606061,0.00197628458498023715,0.00131752305665349144,0.03099630996309963100,0.31217712177121771218,0.01119894598155467721,2.6273291925465839
